epoch,iteration,loss_l,loss_c,loss,learning_rate
301,49501,0.37317579984664917,0.7064346075057983,1.4527862071990967,0.001
301,49502,0.29228881001472473,0.578312337398529,1.1628899574279785,0.001
301,49503,0.24655528366565704,0.712820291519165,1.2059308588504791,0.001
301,49504,0.2741343379020691,0.6063631176948547,1.154631793498993,0.001
301,49505,0.2924365997314453,0.5912005305290222,1.1760737299919128,0.001
301,49506,0.36120688915252686,0.8000949025154114,1.522508680820465,0.001
301,49507,0.3470352292060852,0.6747429966926575,1.3688134551048279,0.001
301,49508,0.2442924678325653,0.6201415657997131,1.1087265014648438,0.001
301,49509,0.3717957139015198,0.7153124213218689,1.4589038491249084,0.001
301,49510,0.26160919666290283,0.6166152358055115,1.1398336291313171,0.001
301,49511,0.2438415288925171,0.6087524890899658,1.096435546875,0.001
301,49512,0.35602161288261414,0.6968433856964111,1.4088866114616394,0.001
301,49513,0.28163647651672363,0.6657314300537109,1.2290043830871582,0.001
301,49514,0.2880946397781372,0.6638134717941284,1.2400027513504028,0.001
301,49515,0.21254593133926392,0.5602343678474426,0.9853262305259705,0.001
301,49516,0.3133387267589569,0.672313928604126,1.2989913821220398,0.001
301,49517,0.26496273279190063,0.5713701248168945,1.1012955904006958,0.001
301,49518,0.3313755393028259,0.65080326795578,1.3135543465614319,0.001
301,49519,0.29219141602516174,0.7502105236053467,1.3345933556556702,0.001
301,49520,0.3425481617450714,0.613601565361023,1.2986978888511658,0.001
301,49521,0.3270358443260193,0.5774092674255371,1.2314809560775757,0.001
301,49522,0.3219572901725769,0.7021999955177307,1.3461145758628845,0.001
301,49523,0.2857160270214081,0.6938045620918274,1.2652366161346436,0.001
301,49524,0.240383118391037,0.5927314758300781,1.073497712612152,0.001
301,49525,0.46661344170570374,0.8825590014457703,1.8157858848571777,0.001
301,49526,0.3348004221916199,0.6040284633636475,1.2736293077468872,0.001
301,49527,0.2633524239063263,0.5677180886268616,1.0944229364395142,0.001
301,49528,0.4196743369102478,0.8313856720924377,1.6707343459129333,0.001
301,49529,0.3171014189720154,0.7254507541656494,1.3596535921096802,0.001
301,49530,0.29762181639671326,0.6186037063598633,1.2138473391532898,0.001
301,49531,0.2453063726425171,0.5807145833969116,1.0713273286819458,0.001
301,49532,0.45205530524253845,0.6851941347122192,1.5893047451972961,0.001
301,49533,0.3038121163845062,0.7245482802391052,1.3321725130081177,0.001
301,49534,0.38706541061401367,0.7758612036705017,1.549992024898529,0.001
301,49535,0.2841857075691223,0.5959339141845703,1.164305329322815,0.001
301,49536,0.3298287093639374,0.6871843338012695,1.3468417525291443,0.001
301,49537,0.28998035192489624,0.5920772552490234,1.172037959098816,0.001
301,49538,0.2525193393230438,0.514878511428833,1.0199171900749207,0.001
301,49539,0.3054629862308502,0.6132941246032715,1.224220097064972,0.001
301,49540,0.2333582192659378,0.6006103157997131,1.0673267543315887,0.001
301,49541,0.3107073903083801,0.6997017860412598,1.32111656665802,0.001
301,49542,0.25080767273902893,0.686044454574585,1.1876598000526428,0.001
301,49543,0.2389851063489914,0.5792161226272583,1.057186335325241,0.001
301,49544,0.3056788444519043,0.614916980266571,1.2262746691703796,0.001
301,49545,0.2906396687030792,0.6629236936569214,1.2442030310630798,0.001
301,49546,0.40333321690559387,0.7318310737609863,1.538497507572174,0.001
